hour,trades,win_rate,avg_pnl
0,162,0.5,0.0
1,164,0.5304878048780488,0.6097560975609756
2,142,0.4647887323943662,-0.704225352112676
3,110,0.5909090909090909,1.8181818181818181
4,74,0.5135135135135135,0.2702702702702703
5,104,0.5384615384615384,0.7692307692307693
6,88,0.5454545454545454,0.9090909090909091
7,91,0.5494505494505495,0.989010989010989
8,111,0.5135135135135135,0.2702702702702703
9,109,0.5688073394495413,1.3761467889908257
10,94,0.5957446808510638,1.9148936170212767
11,91,0.4835164835164835,-0.32967032967032966
12,156,0.5128205128205128,0.2564102564102564
13,275,0.5490909090909091,0.9818181818181818
14,357,0.5350140056022409,0.7002801120448179
15,316,0.5474683544303798,0.9493670886075949
16,254,0.48031496062992124,-0.3937007874015748
17,224,0.5892857142857143,1.7857142857142858
18,167,0.4550898203592814,-0.8982035928143712
19,141,0.41134751773049644,-1.7730496453900708
20,106,0.6132075471698113,2.2641509433962264
21,99,0.5353535353535354,0.7070707070707071
22,148,0.5472972972972973,0.9459459459459459
23,126,0.5793650793650794,1.5873015873015872
