time,open,close,outcome_up,strategy,side,model_prob_up,market_prob_up,edge,vol_regime,imbalance,momentum_signal,reason,won,stake,pnl
2026-02-23 15:15:00,65958.26,65806.54,False,momentum,,0.5002071758439579,0.5,0.00020717584395790745,TRADE,0.0,0.0004143516879157423,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 15:30:00,65806.54,65794.14,False,momentum,DOWN,0.49932674294860047,0.5,-0.000673257051399534,TRADE,0.0,-0.0013465141027991117,edge -0.001 < -threshold 0.000,True,10.0,10.0
2026-02-23 15:45:00,65794.14,65660.1,False,momentum,,0.4999815013694693,0.5,-1.8498630530716653e-05,TRADE,0.0,-3.699726106140962e-05,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 16:00:00,65660.1,65225.99,False,momentum,DOWN,0.4995509583178516,0.5,-0.0004490416821483767,TRADE,0.0,-0.0008980833642967536,edge -0.000 < -threshold 0.000,True,10.0,10.0
2026-02-23 16:15:00,65226.0,65633.14,True,momentum,DOWN,0.4988284175880139,0.5,-0.0011715824119861162,TRADE,0.0,-0.002343164823972225,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-23 16:30:00,65633.13,65572.57,False,momentum,UP,0.5007848283203132,0.5,0.0007848283203132356,TRADE,0.0,0.0015696566406265384,edge +0.001 > threshold 0.000,False,10.0,-10.0
2026-02-23 16:45:00,65572.56,65364.65,False,momentum,,0.500092291625221,0.5,9.229162522095269e-05,TRADE,0.0,0.0001845832504419274,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 17:00:00,65364.66,65081.03,False,momentum,DOWN,0.4996111021650152,0.5,-0.0003888978349848027,TRADE,0.0,-0.0007777956699695992,edge -0.000 < -threshold 0.000,True,10.0,10.0
2026-02-23 17:15:00,65081.07,64579.25,False,momentum,DOWN,0.4990746245098516,0.5,-0.0009253754901483724,TRADE,0.0,-0.001850750980296752,edge -0.001 < -threshold 0.000,True,10.0,10.0
2026-02-23 17:30:00,64577.76,64467.13,False,momentum,DOWN,0.4982020749458307,0.5,-0.0017979250541693137,TRADE,0.0,-0.0035958501083385892,edge -0.002 < -threshold 0.000,True,10.0,10.0
2026-02-23 17:45:00,64467.13,64813.26,True,momentum,DOWN,0.49938831885156354,0.5,-0.0006116811484364604,TRADE,0.0,-0.0012233622968729292,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-23 18:00:00,64813.27,64781.97,False,momentum,UP,0.500829038115626,0.5,0.0008290381156259574,TRADE,0.0,0.0016580762312518368,edge +0.001 > threshold 0.000,False,10.0,-10.0
2026-02-23 18:15:00,64781.98,64818.83,True,momentum,UP,0.5003648547806288,0.5,0.00036485478062875387,TRADE,0.0,0.0007297095612575558,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-23 18:30:00,64818.84,64891.99,True,momentum,,0.5002122275905686,0.5,0.0002122275905686033,TRADE,0.0,0.0004244551811371146,"edge +0.000 inside threshold band, no trade",,0.0,0.0
