freq,strategy,fast,slow,threshold,train_n,train_win_rate,train_p,test_n,test_win_rate,test_p,test_pnl
5min,momentum,3,12,0.00025,7344,0.5716230936819172,0.0,2336,0.59375,0.0,4380.0
5min,confluence,3,12,0.00025,4269,0.5612555633637855,1.3322676295501878e-15,1400,0.5814285714285714,1.1042946557182631e-09,2280.0
5min,momentum,3,12,0.0005,3384,0.567966903073286,2.6645352591003757e-15,1035,0.5893719806763285,8.900816306223192e-09,1850.0
5min,momentum,5,20,0.00025,8622,0.535142658315936,6.740341618183265e-11,2743,0.5610645278891725,1.591398124389798e-10,3350.0
5min,confluence,5,20,0.00025,5369,0.530638852672751,7.1213304766448715e-06,1764,0.550453514739229,2.2542414711557157e-05,1780.0
5min,confluence,3,12,0.0005,2078,0.5457170356111646,3.072435934847739e-05,651,0.5852534562211982,1.3586896687289851e-05,1110.0
5min,momentum,5,20,0.0005,4749,0.5283217519477785,9.48220781953335e-05,1526,0.5583224115334207,5.1983544508971136e-06,1780.0
5min,momentum,8,30,0.00025,9303,0.5186498978824036,0.0003211149893149745,2989,0.5439946470391436,1.5053174495793797e-06,2630.0
5min,mean_reversion,8,30,0.0015,10406,0.4319623294253315,0.0,3373,0.4082419211384524,0.0,-6190.0
5min,mean_reversion,8,30,0.001,11425,0.4379868708971554,0.0,3703,0.41938968403996757,0.0,-5970.0
5min,mean_reversion,8,30,0.0005,12523,0.44366365886768344,0.0,4008,0.4273952095808383,0.0,-5820.0
5min,mean_reversion,8,30,0.00025,13050,0.44559386973180076,0.0,4173,0.42990654205607476,0.0,-5850.0
5min,mean_reversion,5,20,0.0015,10406,0.4319623294253315,0.0,3373,0.4082419211384524,0.0,-6190.0
5min,mean_reversion,5,20,0.001,11425,0.4379868708971554,0.0,3703,0.41938968403996757,0.0,-5970.0
5min,mean_reversion,5,20,0.0005,12523,0.44366365886768344,0.0,4008,0.4273952095808383,0.0,-5820.0
5min,mean_reversion,5,20,0.00025,13050,0.44559386973180076,0.0,4173,0.42990654205607476,0.0,-5850.0
5min,mean_reversion,3,12,0.001,11425,0.4379868708971554,0.0,3703,0.41938968403996757,0.0,-5970.0
5min,mean_reversion,3,12,0.0005,12523,0.44366365886768344,0.0,4008,0.4273952095808383,0.0,-5820.0
5min,mean_reversion,3,12,0.00025,13050,0.44559386973180076,0.0,4173,0.42990654205607476,0.0,-5850.0
5min,mean_reversion,3,12,0.0015,10406,0.4319623294253315,0.0,3373,0.4082419211384524,0.0,-6190.0
